no,Av.Pred,response
1,0.074318289,0
2,0.016098174,0
3,0.165981713,1
4,0.000372897,0
5,0.00119748,0
6,0.149174521,1
7,0.075732485,0
8,0.007044192,0
9,0.15136121,1
10,0.171614667,1
11,0.053102009,0
12,0.402147072,1
13,0.014937749,0
14,0.000179306,0
15,1.39E-05,0
16,0.001133756,0
17,9.97E-06,0
18,4.25E-05,0
19,0.000630484,0
20,0.162196267,1
21,0.000472712,0
22,2.73E-07,0
23,8.00E-05,0
24,0.000868512,0
25,0.152051866,1
26,0.027857244,0
27,0.003232543,0
28,0.152450548,1
29,0.001615489,0
30,0.084454568,0
31,0.003085613,0
32,0.132940851,0
33,0.000942782,0
34,0.125793974,0
35,0.000464437,0
36,0.000673264,0
37,0.02010538,0
38,9.23E-05,0
39,2.334546124,1
40,0.80121008,1
41,2.81995592,1
42,0.041002214,0
43,0.00339893,0
44,0.000121866,0
45,6.61E-09,0
46,0.00032596,0
47,0.020027642,0
48,0.003649073,0
49,0.094518047,0
50,0.682604466,1
51,0.003089686,0
52,0.008254919,0
53,0.002650512,0
54,0.002921789,0
55,0.036316487,0
56,0.490754572,1
57,0.076017998,0
58,3.74E-05,0
59,0.182846014,1
60,0.00638027,0
61,0.120244273,0
62,0.008516553,0
63,0.278974932,1
64,0.002154553,0
65,0.146189676,0
66,0.444079722,1
67,0.003949922,0
68,0.05311415,0
69,0.713274095,1
70,0.026484107,0
71,0.048922908,0
72,0.014486146,0
73,0.270081831,1
74,4.52E-06,0
75,0.123083285,0
76,0.042824182,0
77,9.56E-11,0
78,0.004321917,0
79,0.287300878,1
80,0.665533981,1
81,0.0120931,0
82,0.080621697,0
83,1.328109117,1
84,0.017432501,0
85,0.233296494,1
86,0.174332476,1
87,0.015761189,0
88,0.000528652,0
89,0.001576869,0
90,0.000190541,0
91,0.003952261,0
92,0.018481296,0
93,1.54E-05,0
94,1.155725744,1
95,0.401889626,1
96,0.003731042,0
97,0.421327516,1
98,0.004433803,0
99,0.000150359,0
100,0.000123899,0
101,0.017418352,0
102,0.443948595,1
103,0.009520688,0
104,3.15E-10,0
105,0.00066714,0
106,0.196660243,1
107,0.002403745,0
108,0.00031314,0
109,0.025771906,0
110,0.049219417,0
111,0.018772724,0
112,0.013557202,0
113,0.000666277,0
114,0.00138364,0
115,0.000588195,0
116,0.005347528,0
117,0.005750361,0
118,0.000472387,0
119,2.96E-09,0
120,0.013019455,0
121,9.43E-05,0
122,0.001184904,0
123,0.13949049,0
124,0.111321339,0
125,0.05225504,0
126,0.05791649,0
127,0.070822187,0
128,0.098906461,0
129,0.004829602,0
130,0.017381143,0
131,0.030918553,0
132,0.198308784,1
133,0.055372024,0
134,0.003053879,0
135,0.01464311,0
136,0.00273994,0
137,0.192552622,1
138,0.094642268,0
139,0.000571413,0
140,0.015161031,0
141,0.024556466,0
142,0.007447198,0
143,0.000570168,0
144,0.004559978,0
145,0.116684036,0
146,0.077357453,0
147,0.459674348,1
148,0.000667362,0
149,0.003332335,0
150,0.001169264,0
151,2.163731724,1
152,0.023084871,0
153,0.000179417,0
154,0.001165875,0
155,0.004915373,0
156,0.044756865,0
157,0.000214284,0
158,0.056945302,0
159,0.026209491,0
160,0.007664427,0
161,0.252068098,1
162,0.002497876,0
163,0.049722745,0
164,0.000460263,0
165,0.266216005,1
166,0.134054758,0
167,0.000247189,0
168,0.022874568,0
169,0.037978955,0
170,0.161734766,1
171,0.458340033,1
172,0.001612852,0
173,0.001270522,0
174,1.106871579,1
175,0.260669846,1
176,0.390424837,1
177,0.011634533,0
178,0.094284482,0
179,0.02000828,0
180,0.01143192,0
181,0.000303275,0
182,0.397553781,1
183,0.214772073,1
184,1.44E-05,0
185,0.05271549,0
186,0.004754594,0
187,0.003189996,0
188,0.073423912,0
189,0.217524983,1
190,3.88E-06,0
191,0.06176101,0
192,0.00039168,0
193,0.02356045,0
194,0.015650491,0
195,0.878960136,1
196,0.128832865,0
197,0.01902621,0
198,0.146259599,0
199,0.57870496,1
200,0.363570856,1
201,3.607330887,1
202,0.403849939,1
203,0.050707289,0
204,0.001623713,0
205,0.049777353,0
206,0.003312884,0
207,0.000329111,0
208,0.554830191,1
209,0.033388629,0
210,0.05791649,0
211,1.085755068,1
212,0.041928766,0
213,0.441235713,1
214,0.130525301,0
215,0.001217485,0
216,0.000248709,0
217,0.674433454,1
218,0.271125658,1
219,0.000502632,0
220,2.44E-07,0
221,0.188770007,1
222,0.00057156,0
223,0.099033335,0
224,0.19350994,1
225,1.51E-05,0
226,0.000527909,0
227,0.189546781,1
228,0.00764687,0
229,0.000603767,0
230,0.369293521,1
231,0.854886495,1
232,0.061800729,0
233,0.103458009,0
234,0.019191359,0
235,0.000336969,0
236,0.193972485,1
237,0.000816869,0
238,0.014927499,0
239,0.056944911,0
240,0.000460801,0
241,0.000571699,0
242,6.20E-05,0
243,2.468332948,1
244,0.050174231,0
245,0.248950623,1
246,0.011673057,0
247,0.097795911,0
248,0.000604819,0
249,0.45823991,1
250,0.094298186,0
251,0.004985361,0
252,0.056327019,0
253,0.27078399,1
254,0.248127929,1
255,0.094885219,0
256,0.001410549,0
257,0.000791434,0
258,0.181353926,1
259,0.006471889,0
260,0.13529112,0
261,0.003387828,0
262,0.173462459,1
263,0.00807151,0
264,0.003637259,0
265,0.014935627,0
266,0.041393139,0
267,4.479267482,1
268,0.000826979,0
269,0.000568658,0
270,0.044171201,0
271,0.062719742,0
272,0.28276926,1
273,0.000184078,0
274,0.000931547,0
275,0.000572517,0
276,0.040286304,0
277,0.078922441,0
278,0.162772202,1
279,0.152583103,1
280,0.018205351,0
281,0.019097637,0
282,0.162069486,1
283,0.003083824,0
284,0.1208528,0
285,0.001050888,0
286,0.01287513,0
287,0.003550158,0
288,0.357975885,1
289,0.000208178,0
290,0.000517677,0
291,0.148214544,0
292,0.08250732,0
293,0.005380042,0
294,0.000483756,0
295,0.033023575,0
296,0.324459361,1
297,0.026919875,0
298,0.049178948,0
299,0.008381689,0
300,0.3082708,1
301,0.003305483,0
302,0.000473198,0
303,0.133870794,0
304,0.01645696,0
305,0.000157127,0
306,0.004864668,0
307,1.726130472,1
308,0.026807405,0
309,0.012550702,0
310,0.26253092,1
311,0.452253374,1
312,0.000604517,0
313,0.889693008,1
314,0.00402445,0
315,0.000794902,0
316,0.053774479,0
317,0.04917803,0
318,6.86E-05,0
319,0.039899113,0
320,0.000410272,0
321,0.023425752,0
322,0.132006102,0
323,0.049048077,0
324,0.023474855,0
325,0.038185863,0
326,1.169206801,1
327,0.060256944,0
328,0.031922789,0
329,0.000670204,0
330,0.167684038,1
331,1.897256019,1
332,0.005139203,0
333,0.071277404,0
334,0.710195928,1
335,0.063791881,0
336,0.020209586,0
337,0.533159213,1
338,0.002612064,0
339,0.000131634,0
340,0.027294483,0
341,4.27E-05,0
342,0.179623231,1
343,0.193832008,1
344,0.001801782,0
345,0.004552687,0
346,0.018929612,0
347,0.137096434,0
348,0.052118393,0
349,0.304348746,1
350,0.00547752,0
351,0.149172451,1
352,0.027312495,0
353,0.251615685,1
354,1.933267815,1
355,0.060460545,0
356,7.08E-06,0
357,0.00321049,0
358,0.356779018,1
359,2.561162767,1
360,0.65190043,1
361,0.000189049,0
362,0.000820402,0
363,0.061287781,0
364,9.10E-09,0
365,0.372025852,1
366,0.054862987,0
367,0.95822664,1
368,0.656949781,1
369,0.101550461,0
370,0.00825858,0
371,0.038667368,0
372,0.04821434,0
373,0.000333319,0
374,0.049174356,0
375,3.10E-05,0
376,0.018165921,0
377,0.001475987,0
378,1.262412106,1
379,0.070216998,0
380,0.975509196,1
381,0.001165117,0
382,0.064205173,0
383,0.137604093,0
384,0.062250837,0
385,0.000502338,0
386,0.057916204,0
387,0.00058824,0
388,0.012556436,0
389,0.003098452,0
390,0.061353791,0
391,0.27634788,1
392,0.698929864,1
393,0.21868765,1
394,0.000155559,0
395,0.374827612,1
396,0.048482464,0
397,0.000572334,0
398,0.001440041,0
399,0.004757209,0
400,0.045463344,0
401,0.001724396,0
402,0.000667707,0
403,0.118736486,0
404,0.037274022,0
405,0.004296945,0
406,0.230215342,1
407,0.000652508,0
408,10.63158551,1
409,0.031206476,0
410,3.06E-07,0
411,0.032095583,0
412,2.340872794,1
413,1.09E-07,0
414,0.000291704,0
415,0.037041378,0
416,0.000941605,0
417,0.142777205,0
418,0.018353253,0
419,0.03539087,0
420,0.456926833,1
421,0.002009241,0
422,0.01302453,0
423,0.144599208,0
424,0.001583369,0
425,0.046250196,0
426,0.674375035,1
427,0.003297776,0
428,0.004361407,0
429,0.048887371,0
430,0.503838146,1
431,0.216987397,1
432,0.165542856,1
433,0.002027396,0
434,0.00786166,0
435,0.00202171,0
436,0.689198875,1
437,0.002206789,0
438,0.08281015,0
439,0.012064936,0
440,0.000362715,0
441,0.003835489,0
442,0.223570744,1
443,3.57E-09,0
444,1.97E-05,0
445,6.90E-05,0
446,0.09821405,0
447,0.006794462,0
448,1.019629227,1
449,0.148897503,1
450,0.005804896,0
451,0.32395032,1
452,0.001158619,0
453,0.000513212,0
454,0.000293631,0
455,5.34366289,1
456,0.007754582,0
457,0.173989807,1
458,0.381887409,1
459,0.000943709,0
460,3.34E-05,0
461,0.001053407,0
462,1.450722136,1
463,0.08289468,0
464,0.051278063,0
465,0.00033757,0
466,0.037997982,0
467,0.298142905,1
468,0.048980591,0
469,0.131329908,0
470,1.51E-05,0
471,0.002285676,0
472,0.00207599,0
473,0.014638122,0
474,0.415319777,1
475,3.19E-08,0
476,0.004091645,0
477,0.04550351,0
478,0.473339371,1
479,0.032256069,0
480,0.001586387,0
481,0.005600416,0
482,0.019968211,0
483,0.072877684,0
484,0.000336572,0
485,0.008814616,0
486,0.094427353,0
487,0.00012118,0
488,0.009503204,0
489,0.000561041,0
490,0.243628889,1
491,0.566663001,1
492,0.05791649,0
493,0.014928258,0
494,0.008675562,0
495,0.027080996,0
496,4.40E-05,0
497,0.034467368,0
498,0.000570051,0
499,0.000958736,0
500,0.004344356,0
501,0.066556971,0
502,0.038616537,0
503,0.000732418,0
504,0.039317245,0
505,0.007618588,0
506,0.098916961,0
507,0.029452655,0
508,0.019331394,0
509,0.01177474,0
510,0.001842328,0
511,0.00357347,0
512,0.518538671,1
513,0.002869067,0
514,0.000585185,0
515,0.855272103,1
516,0.00030411,0
517,0.015836813,0
518,0.011951505,0
519,0.053498401,0
520,6.67E-08,0
521,0.065723347,0
522,1.37E-09,0
523,0.004038153,0
524,0.001611882,0
525,0.154655796,1
526,0.00066693,0
527,0.001687508,0
528,0.003436339,0
529,6.31E-09,0
530,1.204207814,1
531,0.000326289,0
532,0.001588334,0
533,0.26587915,1
534,0.015772849,0
535,0.05791649,0
536,0.004380523,0
537,0.146653177,0
538,0.000190262,0
539,6.72E-09,0
540,0.049739177,0
541,0.28682155,1
542,0.123942578,0
543,0.016956463,0
544,0.000570486,0
545,1.25E-13,0
546,0.39489121,1
547,0.023973508,0
548,0.168951186,1
549,0.131252148,0
550,0.127156628,0
551,0.000292301,0
552,0.00056897,0
553,0.014923723,0
554,0.709212754,1
555,0.000965813,0
556,0.049174126,0
557,0.000665256,0
558,0.012581472,0
559,0.237974301,1
560,0.049719783,0
561,0.086120739,0
562,2.311133072,1
563,0.069269597,0
564,0.481592816,1
565,0.010361077,0
566,0.011470655,0
567,0.177637176,1
568,0.031611989,0
569,0.147041873,0
570,0.056944911,0
571,0.023271724,0
572,0.01493516,0
573,0.051596855,0
574,0.224012738,1
575,0.84411592,1
576,6.16E-06,0
577,0.808064381,1
578,0.001199677,0
579,0.027744846,0
580,0.013578534,0
581,0.046931155,0
582,0.051156758,0
583,0.062518216,0
584,0.366091351,1
585,0.165821861,1
586,0.034062105,0
587,0.009564603,0
588,0.752086744,1
589,0.004227222,0
590,0.005634674,0
591,0.001049573,0
592,0.119892456,0
593,0.016486281,0
594,0.014745344,0
595,0.012057851,0
596,2.72E-08,0
597,0.036316487,0
598,1.53E-05,0
599,0.036316487,0
600,0.015178677,0
601,0.168092204,1
602,0.129001381,0
603,0.086053807,0
604,0.040785068,0
605,0.002933543,0
606,0.001081358,0
607,0.000168621,0
608,0.011144515,0
609,0.001088444,0
610,0.008692989,0
611,2.20E-15,0
612,0.019002927,0
613,0.00178606,0
614,0.003323946,0
615,0.003286119,0
616,0.218275492,1
617,0.001026049,0
618,0.350965713,1
619,0.009922333,0
620,0.000872266,0
621,0.028065775,0
622,0.004724538,0
623,0.032258733,0
624,0.001129291,0
625,0.011583564,0
626,0.385775304,1
627,1.923751382,1
628,0.000286518,0
629,0.036316654,0
630,0.107664495,0
631,2.62E-05,0
632,0.003327568,0
633,0.030566708,0
634,0.000653679,0
635,0.070225955,0
636,0.000189989,0
637,0.447761714,1
638,0.002298095,0
639,0.1340459,0
640,0.206165279,1
641,0.112293428,0
642,4.40E-05,0
643,0.004053216,0
644,1.361240709,1
645,0.29781912,1
646,0.021396349,0
647,0.024738448,0
648,0.081917258,0
649,0.202902593,1
650,0.005919254,0
651,0.094284482,0
652,0.000337382,0
653,0.005953625,0
654,0.001506324,0
655,0.375894946,1
656,0.008478882,0
657,0.002478907,0
658,0.044212532,0
659,0.00046135,0
660,0.000221698,0
661,0.085500052,0
662,0.000666661,0
663,0.05990749,0
664,0.320423423,1
665,0.004191663,0
666,0.000271908,0
667,6.30E-11,0
668,3.91E-06,0
669,0.135006409,0
670,0.003040064,0
671,0.067846738,0
672,0.024332774,0
673,0.015511708,0
674,0.001199739,0
675,0.007217667,0
676,0.002204706,0
677,0.124054739,0
678,0.003364347,0
679,0.008852834,0
680,0.039282913,0
681,7.65E-05,0
682,0.026326439,0
683,0.004557226,0
684,0.310415305,1
685,1.40167973,1
686,0.000710332,0
687,0.00314008,0
688,0.031209564,0
689,0.002161709,0
690,0.053141842,0
691,0.154240778,1
692,0.00302854,0
693,0.015183829,0
694,0.000942278,0
695,0.036316654,0
696,0.06566754,0
697,0.006363595,0
698,0.000495978,0
699,0.017544041,0
700,0.009347181,0
701,0.606495943,1
702,0.069264789,0
703,0.00315837,0
704,0.003232288,0
705,0.123594422,0
706,0.000742805,0
707,0.11040992,0
708,0.00081617,0
709,0.017855603,0
710,0.000447531,0
711,0.000463704,0
712,0.059889341,0
713,0.036316654,0
714,0.121234886,0
715,0.004463383,0
716,3.64E-06,0
717,0.001612619,0
718,0.021643494,0
719,0.649317392,1
720,0.196722071,1
721,0.009674704,0
722,0.00934139,0
723,0.006523709,0
724,0.071030323,0
725,0.005517972,0
726,0.016534087,0
727,3.44E-05,0
728,0.000450541,0
729,0.000276728,0
730,0.171501962,1
731,0.000417088,0
732,0.118355995,0
733,4.077569345,1
734,1.31E-06,0
735,0.072727321,0
736,0.457504928,1
737,0.000667183,0
738,0.004256235,0
739,0.024973948,0
740,0.000334268,0
741,0.721487076,1
742,0.148898192,1
743,0.014331299,0
744,0.073089145,0
745,0.015145361,0
746,0.007336972,0
747,0.014650866,0
748,3.07E-10,0
749,0.001181244,0
750,4.21E-05,0
751,0.00124353,0
752,0.137423863,0
753,0.000446998,0
754,0.745970062,1
755,0.000214928,0
756,0.068659657,0
757,0.077541001,0
758,0.000584519,0
759,0.005564806,0
760,1.123146097,1
761,0.000570685,0
762,0.000562592,0
763,0.000327348,0
764,0.131134326,0
765,0.060940682,0
766,0.002384323,0
767,0.001610385,0
768,0.038873153,0
769,0.005452954,0
770,1.18E-11,0
771,0.001184156,0
772,0.014417581,0
773,1.982673668,1
774,1.739360783,1
775,1.668444997,1
776,0.000667512,0
777,0.003980891,0
778,0.000321774,0
779,8.36E-10,0
780,0.000510238,0
781,0.634862559,1
782,0.048872316,0
783,0.052321786,0
784,0.00030263,0
785,0.00105311,0
786,0.117311794,0
787,1.043627734,1
788,0.001110925,0
789,0.581685072,1
790,0.00125373,0
791,0.003701464,0
792,0.059588047,0
793,0.052101357,0
794,4.80E-05,0
795,0.286723026,1
796,0.02071326,0
797,0.003189876,0
798,0.011827013,0
799,0.257808575,1
800,0.001161015,0
801,0.092761989,0
802,0.002790681,0
803,0.039588405,0
804,0.268389596,1
805,0.242490577,1
806,0.038700309,0
807,0.000280832,0
808,0.417904133,1
809,0.491331421,1
810,0.000218126,0
811,0.327281157,1
812,0.00031929,0
813,0.001751938,0
814,0.359536548,1
815,0.045071659,0
816,0.000838187,0
817,0.005745536,0
818,0.002981735,0
819,0.001368834,0
820,0.677697472,1
821,0.001656815,0
822,0.000657546,0
823,0.003086601,0
824,0.003188976,0
825,0.791518797,1
826,0.003584391,0
827,0.002105445,0
828,0.032134234,0
829,0.008691612,0
830,0.000656014,0
831,0.135780312,0
832,0.004650344,0
833,0.003726946,0
834,0.442588896,1
835,0.417268066,1
